Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Coder,Pub_ID,Study_ID,Repeated,Authors,Pub_Year,Pub_Type - Selected Choice,Pub_Type - Other - Text,Analysis_Level,Sample_Size,Sample_Age,Sample_Gender,Perspective_Describe - Verbal Instructions,Perspective_Describe - Mental Imagery,Perspective_Describe - Pictures,Perspective_Describe - N/A (only relevant if naturalistic),Perspective_Describe - Unknown,Distancing_Emphasis,Memory_Type,Cue_Type,Age_Constraint,Clinical_Mod - Selected Choice,Clinical_Mod - Other - Text,Clinical_Meas - Selected Choice,Clinical_Meas - Other: - Text,Perspective_Nature,Shift_Type,Emo_Mod,Perspective_Measurement,Outcome - Vividness,Outcome - Emotional Intensity,Outcome - Frequency,Outcome - Positive Emotion,Outcome - Negative Emotion,Outcome - Re-Experiencing,Outcome - Rehearsal,Outcome - Perspective Use (1st),Outcome - Perspective Use (3rd),Outcome - Age of Memory,Outcome - Perspective Use (Dichotomy),Memory_N,Design_1,Design_2,Vividness - First_Mean,Vividness - First_SD,Vividness - First_N,Vividness - Third_Mean,Vividness - Third_SD,Vividness - Third_N,Vividness - First_Corr,Vividness - Third_Corr,Vividness - What was the correlation with [Field-1] perspective?,Vividness - Between_Test,Emotional Intensity - First_Mean,Emotional Intensity - First_SD,Emotional Intensity - First_N,Emotional Intensity - Third_Mean,Emotional Intensity - Third_SD,Emotional Intensity - Third_N,Emotional Intensity - First_Corr,Emotional Intensity - Third_Corr,Emotional Intensity - What was the correlation with [Field-1] perspective?,Emotional Intensity - Between_Test,Frequency - First_Mean,Frequency - First_SD,Frequency - First_N,Frequency - Third_Mean,Frequency - Third_SD,Frequency - Third_N,Frequency - First_Corr,Frequency - Third_Corr,Frequency - What was the correlation with [Field-1] perspective?,Frequency - Between_Test,Positive Emotion - First_Mean,Positive Emotion - First_SD,Positive Emotion - First_N,Positive Emotion - Third_Mean,Positive Emotion - Third_SD,Positive Emotion - Third_N,Positive Emotion - First_Corr,Positive Emotion - Third_Corr,Positive Emotion - What was the correlation with [Field-1] perspective?,Positive Emotion - Between_Test,Negative Emotion - First_Mean,Negative Emotion - First_SD,Negative Emotion - First_N,Negative Emotion - Third_Mean,Negative Emotion - Third_SD,Negative Emotion - Third_N,Negative Emotion - First_Corr,Negative Emotion - Third_Corr,Negative Emotion - What was the correlation with [Field-1] perspective?,Negative Emotion - Between_Test,Re-Experiencing - First_Mean,Re-Experiencing - First_SD,Re-Experiencing - First_N,Re-Experiencing - Third_Mean,Re-Experiencing - Third_SD,Re-Experiencing - Third_N,Re-Experiencing - First_Corr,Re-Experiencing - Third_Corr,Re-Experiencing - What was the correlation with [Field-1] perspective?,Re-Experiencing - Between_Test,Rehearsal - First_Mean,Rehearsal - First_SD,Rehearsal - First_N,Rehearsal - Third_Mean,Rehearsal - Third_SD,Rehearsal - Third_N,Rehearsal - First_Corr,Rehearsal - Third_Corr,Rehearsal - What was the correlation with [Field-1] perspective?,Rehearsal - Between_Test,Perspective Use (1st) - First_Mean,Perspective Use (1st) - First_SD,Perspective Use (1st) - First_N,Perspective Use (1st) - Third_Mean,Perspective Use (1st) - Third_SD,Perspective Use (1st) - Third_N,Perspective Use (1st) - First_Corr,Perspective Use (1st) - Third_Corr,Perspective Use (1st) - What was the correlation with [Field-1] perspective?,Perspective Use (1st) - Between_Test,Perspective Use (3rd) - First_Mean,Perspective Use (3rd) - First_SD,Perspective Use (3rd) - First_N,Perspective Use (3rd) - Third_Mean,Perspective Use (3rd) - Third_SD,Perspective Use (3rd) - Third_N,Perspective Use (3rd) - First_Corr,Perspective Use (3rd) - Third_Corr,Perspective Use (3rd) - What was the correlation with [Field-1] perspective?,Perspective Use (3rd) - Between_Test,Age of Memory - First_Mean,Age of Memory - First_SD,Age of Memory - First_N,Age of Memory - Third_Mean,Age of Memory - Third_SD,Age of Memory - Third_N,Age of Memory - First_Corr,Age of Memory - Third_Corr,Age of Memory - What was the correlation with [Field-1] perspective?,Age of Memory - Between_Test,Perspective Use (Dichotomy) - First_Mean,Perspective Use (Dichotomy) - First_SD,Perspective Use (Dichotomy) - First_N,Perspective Use (Dichotomy) - Third_Mean,Perspective Use (Dichotomy) - Third_SD,Perspective Use (Dichotomy) - Third_N,Perspective Use (Dichotomy) - First_Corr,Perspective Use (Dichotomy) - Third_Corr,Perspective Use (Dichotomy) - What was the correlation with [Field-1] perspective?,Perspective Use (Dichotomy) - Between_Test,Notes
19/07/2018 07:29,19/07/2018 07:31,IP Address,86.161.106.11,100,134,TRUE,19/07/2018 07:31,R_31Hj1iW8aU1VU7z,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,379,1,No,"Vella, N., C., & Moulds, M., L.",2014,Journal Article,-99,Participants,80,20.35,53,Verbal Instructions,,,,,No,Autobiographical,Emotional i.e. positive event,Only recent memories,No,-99,,,Spontaneous (naturalistic),,Positive Cue,Categorical,Vividness,Emotional Intensity,Frequency,Positive Emotion,,,,,,Age of Memory,,1,Experimental,Between-Subjects / Independent Measures,80,12.83,42,76.72,20.54,32,,,,"t(48.90) = 0.79, p = .432",4.79,1.52,42,5,1.41,32,,,,"t(72) = 0.62, p = .537",-99,-99,42,-99,-99,32,,,,-99,81.76,13.07,42,86.38,12.32,32,,,,"t(68.74) = 1.56, p = .124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,6.96,42,10.53,6.47,32,,,,"t(69.13) = 2.02, p = .047",,,,,,,,,,,-99
19/07/2018 11:39,19/07/2018 13:30,IP Address,86.161.106.11,100,6656,TRUE,19/07/2018 13:30,R_22uf0XQPv9p9gAl,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,136,1,,"Sekiguchi, T., & Nonaka, S.",2014,Journal Article,-99,Participants,48,20,-99,Verbal Instructions,,,,,No,Autobiographical,Emotional i.e. positive event,No restriction,No,-99,,,Spontaneous (naturalistic),,No,Single Scale,Vividness,,,,,Re-Experiencing,,,,,,15,Experimental,Between-Subjects / Independent Measures,3.1,0.7,24,3.5,0.5,24,,,,"t(41.62) = 2.28, p = .028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,0.6,24,2.9,0.6,24,,,,"t(46) = 1.15, p = .254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Both positive and negative cues were used but no distinction was made in the results section. 

Session 2 was chosen because it allows for a comparison between first and third person perspective with known group sizes, and at the participant level of analysis. 

Choice between the field vs observer event was arbitary and done to avoid the issues of assuming the covariance matrix to be able to aggregate the SDs (they are paired data). Mainly due to how many assumptions about covariances that will have to be made to do the multivariate analysis.

The means and SDs for emotional intensity are not available

I've ignored their ANCOVA analysis results because they've violated the major assumption of the analysis and these will be spurious at best. 

They suggest rehearsal frequency and memory age were reported but I cannot find values for these in the results section. "
22/07/2018 03:23,22/07/2018 03:29,IP Address,86.161.106.11,100,378,TRUE,22/07/2018 03:29,R_3J5fWaaQqHSoVsW,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,31,1,,"D'Argembeau, A., Comblain, C., & Van der Linden, M.",2003,Journal Article,-99,Participants,101,21.47,76,Verbal Instructions,,,,,No,Autobiographical,Emotional i.e. positive event,Only recent memories,No,-99,,,Spontaneous (naturalistic),,Negative Cue,Categorical,,,Frequency,,,,,,,,,2,Experimental,Within-Subjects / Repeated Measures,,,,,,,,,,,,,,,,,,,,,128,-99,606,66,-99,606,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99
22/07/2018 03:29,22/07/2018 03:32,IP Address,86.161.106.11,100,136,TRUE,22/07/2018 03:32,R_1fZUUx4jfdxiCYb,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,31,1,,"D'Argembeau, A., Comblain, C., & Van der Linden, M.",2003,Journal Article,-99,Memories,101,21.47,76,Verbal Instructions,,,,,No,Autobiographical,Emotional i.e. positive event,Only recent memories,No,-99,,,Spontaneous (naturalistic),,Positive Cue,Categorical,,,Frequency,,,,,,,,,4,Experimental,Within-Subjects / Repeated Measures,,,,,,,,,,,,,,,,,,,,,125,-99,606,69,-99,606,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anxiety and repression are measured, however, they're split according to the median score within the study as though anxiety and repression have a 'frog pond effect' rather than being distinct dimensions and using normative scores/clinical cutoffs.

As such, only the frequencies are coded for each perspective overall."
22/07/2018 03:37,22/07/2018 03:41,IP Address,86.161.106.11,100,237,TRUE,22/07/2018 03:41,R_3KCUdVzEZrTTUsb,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,204,1,,"St Jacques, P., L., Szpunar, K., K., & Schacter, D., L.",2017,Journal Article,-99,Participants,29,22.6,20,Verbal Instructions,,,,,No,Autobiographical,-99,Multiple time periods,No,-99,,,Spontaneous (naturalistic),,No,Two separate scales (1st and 3rd),,,Frequency,,,,,,,,,240,Experimental,Within-Subjects / Repeated Measures,,,,,,,,,,,,,,,,,,,,,173,-99,240,67,-99,240,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Only study come across to use both shifted an non-shifted as a repeated measures design, so shifting from 1st to 3rd, and back again. As such, I've only sourced the session 1 frequency information which simply reflects the natural spontaneous recall ratings. 

Mainly to avoid potential issues of incorporating such a distinctly different design within the results, instead using one which is certainly comparable to other studies that use spontaneous recall. Unfortunately, because the groups were formed and matched on session 1 characteristics the other dv measurements provided are rendered unusable.
"
22/07/2018 03:42,22/07/2018 03:59,IP Address,86.161.106.11,100,1046,TRUE,22/07/2018 03:59,R_3iCFAkDE9BOSA0n,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,15,1,,"West, T., A., & Bauer, P., J.",1999,Journal Article,-99,Participants,48,24,48,Verbal Instructions,,,,,No,Autobiographical,General event i.e. event from a holiday,No restriction,No,-99,,,Spontaneous (naturalistic),,No,Categorical,,,Frequency,,,,,,,,,4,Experimental,Between-Subjects / Independent Measures,,,,,,,,,,,,,,,,,,,,,157,-99,192,35,-99,192,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frequency taken from the later memory values and calculated from the proportions provided.
22/07/2018 04:00,22/07/2018 04:06,IP Address,86.161.106.11,100,342,TRUE,22/07/2018 04:06,R_1NrEQBBy5Fx8Qwm,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,15,2,,"West, T., A., & Bauer, P., J.",1996,Journal Article,-99,Participants,15,24,0,,,,,Unknown,Unknown,Autobiographical,General event i.e. event from a holiday,No restriction,No,-99,,,Spontaneous (naturalistic),,No,Categorical,,,Frequency,,,,,,,,,4,Experimental,Within-Subjects / Repeated Measures,,,,,,,,,,,,,,,,,,,,,49,-99,60,11,-99,60,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Values taken for the later memories, and frequency calculated from the proportions provided. Surprisingly, these are identical to study 1. "
22/07/2018 04:39,22/07/2018 04:44,IP Address,86.161.106.11,100,326,TRUE,22/07/2018 04:44,R_23gB6qUGp7cyFkq,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,94,1,,"Sutin, A., R, & Robins, R., W.",2010,Journal Article,-99,Participants,706,20,445,Verbal Instructions,,,,,No,Autobiographical,General event i.e. event from a holiday,No restriction,No,-99,,,Deliberate,,No,Single Scale,Vividness,Emotional Intensity,,,,,Rehearsal,Perspective Use (1st),,,,1,Experimental,Between-Subjects / Independent Measures,4.02,0.68,128,3.96,0.78,128,,,,"t(249.36) = 0.66, p = .512",3.76,0.84,128,3.66,0.84,128,,,,"t(254) = 0.95, p = .342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,1.07,128,2.95,1.02,128,,,,"t(253.42) = 1.15, p = .252",3.71,0.98,128,3.43,0.97,128,,,,"F(1, 254) = 5.40, p = .021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calculations for the t-tests and exact p-value for the F test were done in R. 

Valence is omitted for now pending discussion as it's a single scale measurement

Their measure of perspective only looked at the use of first-person perspective on a single scale, no direct measurement of the use of third-person perspective. 

Treated 'sharing' as being analogous to rehearsal"
23/07/2018 09:13,23/07/2018 10:05,IP Address,86.161.106.11,100,3075,TRUE,23/07/2018 10:05,R_Q0t0UqW4fvwsVuV,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,177,1,,"Wisco, B., E., Nolen-Hoeksema, S.",2011,Journal Article,-99,Participants,58,21.8,-99,Verbal Instructions,,,,,No,Autobiographical,Emotional i.e. positive event,No restriction,Control Group,-99,,,Deliberate,,Negative Cue,Two separate scales (1st and 3rd),,Emotional Intensity,,,Negative Emotion,,,Perspective Use (1st),Perspective Use (3rd),,,1,Experimental,Between-Subjects / Independent Measures,,,,,,,,,,,3.96,1.4,28,3.44,1.4,30,,,,"t(55.73) = 1.41, p = .163",,,,,,,,,,,,,,,,,,,,,4.28,1.45,28,4.04,1.45,30,,,,"t(55.73) = 0.63, p = 0.531",,,,,,,,,,,,,,,,,,,,,4.56,0.55,28,-99,-99,-99,,,,-99,-99,-99,-99,4.57,0.68,30,,,,-99,,,,,,,,,,,,,,,,,,,,,"Their use of 're-experiencing' is in relation to re-experiencing the negative emotion of the event, not the sense of reliving the memory."
23/07/2018 10:05,23/07/2018 10:24,IP Address,86.161.106.11,100,1153,TRUE,23/07/2018 10:24,R_3ndW8NOWbrtKT1e,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,102,1,,"Wisco, B., E., & Nolen-Hoeksema, S.",2011,Journal Article,-99,Participants,52,21.38,-99,Verbal Instructions,,,,,No,Autobiographical,Emotional i.e. positive event,No restriction,Depression / Dysphoria,-99,BDI,-99,Deliberate,,Negative Cue,Two separate scales (1st and 3rd),,Emotional Intensity,,,Negative Emotion,,,,,,,1,Experimental,Between-Subjects / Independent Measures,,,,,,,,,,,5.3,1.52,25,4.7,1.38,27,,,,"t(48.52) = 1.49, p = .144",,,,,,,,,,,,,,,,,,,,,5.48,1.52,25,5.07,1.45,28,,,,"t(49.69) = 1.00, p = .321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use of each perspective is collapsed over dysphoric and non-dysphoric ps, and it was only recorded as a single measure for the relevant condition:

""Participants in the immersed condition were asked “To what extent were you able to see the situations through your own eyes?” Participants in distanced condition were asked “To what extent were you able to see yourself in the situations?” Both groups were asked to rate the question on a scale from 1 to 5, with 1 corresponding to “not at all” and 5 corresponding to “very well.” The manipulation check question was added to the study after 17 individuals had already participated, therefore, data are unavailable for those participants."""
24/07/2018 02:14,24/07/2018 02:34,IP Address,86.161.106.11,100,1219,TRUE,24/07/2018 02:34,R_1yO0IkOZsnsj9uN,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,63,1,,"Williams, A., D., & Moulds, M., L.",2008,Journal Article,-99,Participants,134,20.01,99,Verbal Instructions,,Pictures,,,No,Autobiographical,Emotional i.e. positive event,No restriction,Depression / Dysphoria,-99,BDI,-99,Shifted,,Negative Cue,Categorical,Vividness,,,,Negative Emotion,Re-Experiencing,,,,,,1,Experimental,Between-Subjects / Independent Measures,69.27,23.71,55,60.38,23.65,78,,,,"t(116.23) = 2.13, p = .035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.36,23.72,55,48.71,24.98,78,,,,"t(116.10) = 1.26, p = .209",54.54,27.54,55,41.02,28.9,78,,,,"t(119.77) = 2.73, p = .007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Treated 'distress' as representing negative emotion
Arguably, 'detachment' could be used to represent emotional intensity, particularly where in one paragraph they interpret it as 'emotional detachment'. But, to me, detachment represents more than this and the emotional intensity is one aspect of this"
24/07/2018 02:35,24/07/2018 02:38,IP Address,86.161.106.11,100,211,TRUE,24/07/2018 02:38,R_1n7Ja2DzyvwXk6e,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,63,1,,"Williams, A., D., & Moulds, M.",2008,Journal Article,-99,Participants,134,20.01,99,Verbal Instructions,,Pictures,,,No,Autobiographical,Emotional i.e. positive event,No restriction,Depression / Dysphoria,-99,BDI,-99,Spontaneous (naturalistic),,Negative Cue,Categorical,Vividness,,Frequency,,Negative Emotion,Re-Experiencing,,,,,,1,Experimental,Between-Subjects / Independent Measures,68.39,22.68,78,72,21.2,55,,,,"t(121.04) = 0.94, p = .349",,,,,,,,,,,78,-99,133,55,-99,133,,,,-99,,,,,,,,,,,65.83,18.95,78,68.28,19.12,55,,,,"t(115.76) = 0.73, p = .467",46.98,25.74,78,52.72,25.85,55,,,,"t(116.10) = 1.26, p = .209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99
24/07/2018 02:42,26/07/2018 10:59,IP Address,81.136.107.221,100,202633,TRUE,26/07/2018 10:59,R_U9B66dap3ltXElj,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,383,1,,"Wang, Y., Zhao, Q., Cui, J. F., Hong, X. H., & Chan, R. C. K.",2017,Journal Article,-99,Participants,15,25.4,-99,,,,,Unknown,Unknown,Autobiographical,Specific event i.e. first time you did 'x' / bespoke cue from prior session,No restriction,Schizophrenia,-99,Other:,Positive and Negative Syndrome Scale,Spontaneous (naturalistic),,No,Categorical,,,Frequency,,,,,,,,,9,Experimental,Within-Subjects / Repeated Measures,,,,,,,,,,,,,,,,,,,,,121,-99,135,14,-99,135,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99
26/07/2018 10:59,26/07/2018 11:02,IP Address,81.136.107.221,100,164,TRUE,26/07/2018 11:02,R_SE66iA4jjWj6AQV,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,383,1,,"Wang, Y., Zhao, Q., Cui, J. F., Hong, X. H., & Chan, R. C. K.",2017,Journal Article,-99,Participants,15,24.11,-99,,,,,Unknown,Unknown,Autobiographical,Specific event i.e. first time you did 'x' / bespoke cue from prior session,No restriction,Control Group,-99,,,Spontaneous (naturalistic),,No,Categorical,,,Frequency,,,,,,,,,9,Experimental,Between-Subjects / Independent Measures,,,,,,,,,,,,,,,,,,,,,126,-99,135,9,-99,135,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99
27/07/2018 02:01,27/07/2018 03:11,IP Address,81.136.107.221,100,4198,TRUE,27/07/2018 03:11,R_VUXSFVVqMZYVVBL,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,51,1,,"Rice, H. J.",2007,Dissertation,-99,Participants,51,19.06,34,Verbal Instructions,,Pictures,,,No,Autobiographical,General event i.e. event from a holiday,Multiple time periods,No,-99,,,Spontaneous (naturalistic),,No,Two separate scales (1st and 3rd),Vividness,Emotional Intensity,,Positive Emotion,Negative Emotion,Re-Experiencing,Rehearsal,,,Age of Memory,,10,Experimental,Within-Subjects / Repeated Measures,5.38,1.2,43,4.94,0.85,43,,,,"t(48) = 4.21, p &lt; .001",3.38,1.21,43,2.93,0.97,43,,,,t(42) = 4.10,,,,,,,,,,,3.39,1.42,43,3.92,0.89,43,,,,t(42) = -1.95,4.31,1.19,43,3.51,0.9,43,,,,t(42) = 4.18,4.38,1.25,43,3.86,1.11,43,,,,t(42) = 5.08,3.28,1.19,43,3.15,0.98,43,,,,t(42) = 1.37,,,,,,,,,,,,,,,,,,,,,2.88,1.99,43,3.72,1.93,43,,,,t(42) = -2.68,,,,,,,,,,,"Information sourced from experiment 5
Other experiments relevant for the frequency information
Perspective use measured but not reported
Multiple participants have been quietly dropped from the results with the t-test df being 42 not 50."
30/07/2018 09:18,30/07/2018 09:20,IP Address,81.136.107.221,100,152,TRUE,30/07/2018 09:20,R_3KC1k6kQsmB55HQ,,,,,53.23330688,-0.533294678,anonymous,EN-GB,Liam,44,1,,"Sutin, R.",2006,Dissertation,-99,Participants,650,20,410,Verbal Instructions,,,,,Unknown,Autobiographical,General event i.e. event from a holiday,No restriction,No,-99,,,Spontaneous (naturalistic),,No,Single Scale,Vividness,Emotional Intensity,Frequency,,,Re-Experiencing,Rehearsal,,,,Perspective Use (Dichotomy),1,Experimental,Between-Subjects / Independent Measures,4.2,0.7,491,3.9,0.7,159,,,,t(267.84) = 4.70,4,0.8,491,.3.7,0.9,159,,,,t(244.05) = 3.75,491,-99,650,159,-99,650,,,,-99,,,,,,,,,,,,,,,,,,,,,3.6,0.6,491,3.3,0.7,159,,,,t(237.78) = 4.86,2.9,1.1,491,2.7,1.1,159,,,,t(267.84) = 1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,0.7,491,2.8,1,159,,,,t(210.41) = 15.23,"Horrifically unbalanced design, wouldn't trust the test statistics, even with the corrections, whatsoever"
