Author(s),Year,Title,Journal,Volume,Issue,Abstract,Pages
"M. Avram, K. Hennig-Fast, Y. Bao, E. Poppel, M. Reiser, J. Blautzik, J. Giordano and E. Gutyrchik",2014,Neural correlates of moral judgments in first- and third-person perspectives: implications for neuroethics and beyond,BMC Neurosci,15,,"BACKGROUND: There appears to be an inconsistency in experimental paradigms used in fMRI research on moral judgments. As stimuli, moral dilemmas or moral statements/ pictures that induce emotional reactions are usually employed; a main difference between these stimuli is the perspective of the participants reflecting first-person (moral dilemmas) or third-person perspective (moral reactions). The present study employed functional magnetic resonance imaging (fMRI) in order to investigate the neural correlates of moral judgments in either first- or third-person perspective. RESULTS: Our results indicate that different neural mechanisms appear to be involved in these perspectives. Although conjunction analysis revealed common activation in the anterior medial prefrontal cortex, third person-perspective elicited unique activations in hippocampus and visual cortex. The common activation can be explained by the role the anterior medial prefrontal cortex may play in integrating different information types and also by its involvement in theory of mind. Our results also indicate that the so-called ""actor-observer bias"" affects moral evaluation in the third-person perspective, possibly due to the involvement of the hippocampus. We suggest two possible ways in which the hippocampus may support the process of moral judgment: by the engagement of episodic memory and its role in understanding the behaviors and emotions of others. CONCLUSION: We posit that these findings demonstrate that first or third person perspectives in moral cognition involve distinct neural processes, that are important to different aspects of moral judgments. These results are important to a deepened understanding of neural correlates of moral cognition-the so-called ""first tradition"" of neuroethics, with the caveat that any results must be interpreted and employed with prudence, so as to heed neuroethics ""second tradition"" that sustains the pragmatic evaluation of outcomes, capabilities and limitations of neuroscientific techniques and technologies.",39
"M. Avram, K. Hennig-Fast, Y. Bao, E. Pöppel, M. Reiser, J. Blautzik, J. Giordano and E. Gutyrchik",2014,Neural correlates of moral judgments in first- and third-person perspectives: Implications for neuroethics and beyond,BMC Neuroscience,15,,"Background: There appears to be an inconsistency in experimental paradigms used in fMRI research on moral judgments. As stimuli, moral dilemmas or moral statements/ pictures that induce emotional reactions are usually employed; a main difference between these stimuli is the perspective of the participants reflecting first-person (moral dilemmas) or third-person perspective (moral reactions). The present study employed functional magnetic resonance imaging (fMRI) in order to investigate the neural correlates of moral judgments in either first- or third-person perspective. Results: Our results indicate that different neural mechanisms appear to be involved in these perspectives. Although conjunction analysis revealed common activation in the anterior medial prefrontal cortex, third person-perspective elicited unique activations in hippocampus and visual cortex. The common activation can be explained by the role the anterior medial prefrontal cortex may play in integrating different information types and also by its involvement in theory of mind. Our results also indicate that the so-called ""actor-observer bias"" affects moral evaluation in the third-person perspective, possibly due to the involvement of the hippocampus. We suggest two possible ways in which the hippocampus may support the process of moral judgment: by the engagement of episodic memory and its role in understanding the behaviors and emotions of others. Conclusion: We posit that these findings demonstrate that first or third person perspectives in moral cognition involve distinct neural processes, that are important to different aspects of moral judgments. These results are important to a deepened understanding of neural correlates of moral cognition—the so-called “first tradition” of neuroethics, with the caveat that any results must be interpreted and employed with prudence, so as to heed neuroethics “second tradition” that sustains the pragmatic evaluation of outcomes, capabilities and limitations of neuroscientific techniques and technologies. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",11
"B. J. Baars, S. Franklin and T. Z. Ramsoy",2013,"Global workspace dynamics: Cortical ""binding and propagation"" enables conscious contents",Frontiers in Psychology,4,,"A global workspace (GW) is a functional hub of binding and propagation in a population of loosely coupled signaling elements. In computational applications, GW architectures recruit many distributed, specialized agents to cooperate in resolving focal ambiguities. In the brain, conscious experiences may reflect a GW function. For animals, the natural world is full of unpredictable dangers and opportunities, suggesting a general adaptive pressure for brains to resolve focal ambiguities quickly and accurately. GW theory aims to understand the differences between conscious and unconscious brain events. In humans and related species the cortico-thalamic (C-T) core is believed to underlie conscious aspects of perception, thinking, learning, feelings of knowing (FOK), felt emotions, visual imagery, working memory, and executive control. Alternative theoretical perspectives are also discussed. The C-T core has many anatomical hubs, but conscious percepts are unitary and internally consistent at any given moment. Over time, conscious contents constitute a very large, open set.This suggests that a brain-based GW capacity cannot be localized in a single anatomical hub. Rather, it should be sought in a functional hub—a dynamic capacity for binding and propagation of neural signals over multiple task-related networks, a kind of neuronal cloud computing. In this view, conscious contents can arise in any region of the C-T core when multiple input streams settle on a winner-take-all equilibrium. The resulting conscious gestalt may ignite an any-to-many broadcast, lasting ∼100–200 ms, and trigger widespread adaptation in previously established networks. To account for the great range of conscious contents over time, the theory suggests an open repertoire of binding1 coalitions that can broadcast via theta/gamma or alpha/gamma phase coupling, like radio channels competing for a narrow frequency band. Conscious moments are thought to hold only 1–4 unrelated items; this small focal capacity may be the biological price to pay for global access. Visuotopic maps in cortex specialize in features like color, retinal size, motion, object identity, and egocentric/allocentric framing, so that a binding coalition for the sight of a rolling billiard ball in nearby space may resonate among activity maps of LGN, V1-V4, MT, IT, as well as the dorsal stream. Spatiotopic activity maps can bind into coherent gestalts using adaptive resonance (reentry). Single neurons can join a dominant coalition by phase tuning to regional oscillations in the 4–12 Hz range. Sensory percepts may bind and broadcast from posterior cortex, while non-sensory FOKs may involve prefrontal and frontotemporal areas.The anatomy and physiology of the hippocampal complex suggest a GW architecture as well. In the intact brain the hippocampal complex may support conscious event organization as well as episodic memory storage. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",22
G. Bagri and G. V. Jones,2009,Category-specific enhancement of retrieval due to field perspective,Memory,17,3,"Two memory perspectives have been distinguished: a field perspective where events are re-experienced in the first person, and an observer perspective where events are witnessed in the third person. Two experiments examined the influence of memory perspective on objective memory performance. In both experiments participants were presented with a series of verbal passages, each of which contained several different categories of information. For four of these categories (pertaining to affective reactions, physical sensations, psychological states, and associated ideas), recall was significantly higher when a field perspective was adopted than when an observer perspective was adopted, but for the five other categories (pertaining to physical actions, personal appearance, fine details, spatial relations, and peripheral details) there was no significant effect of perspective upon recall. The study is examined in the context of mental models and imagined episodic events.",337-345
"P. Banta Lavenex, V. Boujon, A. Ndarugendamwo and P. Lavenex",2015,Human short-term spatial memory: precision predicts capacity,Cogn Psychol,77,,"Here, we aimed to determine the capacity of human short-term memory for allocentric spatial information in a real-world setting. Young adults were tested on their ability to learn, on a trial-unique basis, and remember over a 1-min interval the location(s) of 1, 3, 5, or 7 illuminating pads, among 23 pads distributed in a 4mx4m arena surrounded by curtains on three sides. Participants had to walk to and touch the pads with their foot to illuminate the goal locations. In contrast to the predictions from classical slot models of working memory capacity limited to a fixed number of items, i.e., Miller's magical number 7 or Cowan's magical number 4, we found that the number of visited locations to find the goals was consistently about 1.6 times the number of goals, whereas the number of correct choices before erring and the number of errorless trials varied with memory load even when memory load was below the hypothetical memory capacity. In contrast to resource models of visual working memory, we found no evidence that memory resources were evenly distributed among unlimited numbers of items to be remembered. Instead, we found that memory for even one individual location was imprecise, and that memory performance for one location could be used to predict memory performance for multiple locations. Our findings are consistent with a theoretical model suggesting that the precision of the memory for individual locations might determine the capacity of human short-term memory for spatial information.",Jan-19
T. Bast,2007,Toward an integrative perspective on hippocampal function: From the rapid encoding of experience to adaptive behavior,Reviews in the Neurosciences,18,03-Apr,,253-281
"T. Bast, B. M. da Silva and R. G. Morris",2005,Distinct contributions of hippocampal NMDA and AMPA receptors to encoding and retrieval of one-trial place memory,J Neurosci,25,25,"Allocentric place memory may serve to specify the context of events stored in human episodic memory. Recently, our laboratory demonstrated that, analogous to event-place associations in episodic memory, rats could associate, within one trial, a specific food flavor with an allocentrically defined place in an open arena. Encoding, but not retrieval, of such flavor-place associations required hippocampal NMDA receptors; retrieval depended on hippocampal AMPA receptors. This might have partly reflected the contributions of these receptors to encoding and retrieval of one-trial place, rather than flavor-place, memory. Therefore, the present study developed a food-reinforced arena paradigm to study encoding and retrieval of one-trial allocentric place memory in rats; memory relied on visuospatial information and declined with increasing retention delay, still being significant after 6 h, the longest delay tested (experiments 1 and 2). Hippocampal infusion of the NMDA receptor antagonist d-AP-5 blocked encoding without affecting retrieval; hippocampal infusion of the AMPA receptor antagonist CNQX impaired retrieval (experiment 3). Finally, we confirmed that the d-AP-5 infusions selectively blocked induction of long-term potentiation, a form of synaptic plasticity, whereas CNQX impaired fast excitatory transmission, at perforant-path dentate gyrus synapses in the dorsal hippocampus in vivo (experiment 4). Our results support that encoding, but not retrieval, of one-trial allocentric place memory requires the NMDA receptor-dependent induction of hippocampal synaptic plasticity, whereas retrieval depends on AMPA receptor-mediated fast excitatory hippocampal transmission. The contributions of hippocampal NMDA and AMPA receptors to one-trial allocentric place memory may be central to episodic memory and related episodic-like forms of memory in rats.",5845-5856
R.-P. Behrendt,2010,Contribution of hippocampal region CA3 to consciousness and schizophrenic hallucinations,Neuroscience and Biobehavioral Reviews,34,8,"Recent advances in understanding hippocampal information processing offer new vistas on the mind-body and binding problems. Information encoded by the autoassociation network of cornu ammonis 3 (CA3) situates landmarks and objects within an allocentric framework of space and time. Guiding locomotion across the spatial environment, and generally organizing behaviour that transcends space and time, the hippocampus creates phenomenal space and time themselves, thus laying the foundations for conscious awareness. It is argued that conscious experience describes/symbolizes the informational content of self-organizing activity patterns in CA3. Imagery, conscious perception or hallucinations do not in themselves affect the physical trajectory of behaviour but are evidence for patterns of neuronal activity that, acting via the medial prefrontal cortex, modulate action dispositions and influence prefrontal top-down attentional control of sensory processing and thus subsequent event memory formation. Evidence for GABAergic deficit and pyramidal cell hyperexcitability in CA3 in patients with schizophrenia is consistent with the notion that binding, by the CA3 network, of cortical modules representing weakly related sensory representations underlies hallucinations in this disorder. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",1121-1136
R.-P. Behrendt,2013,Hippocampus and consciousness,Reviews in the Neurosciences,24,3,"An important assumption concerning the physiology of consciousness is that all varieties of conscious experience are closely related to each other and, hence, are subserved by the same neural mechanism. There are several considerations that lead us to implicate the hippocampus in the generation of conscious perception and, ultimately, of conscious experiences of all kinds. Firstly, conscious perception of external events is intricately linked with the formation of episodic (declarative) memories, a key function attributed to the hippocampus. Secondly, conscious experience is allocentric and contextualized. Consciousness creates or simulates an image of the world that appears to surround us and to be independent of our observation of it. What is characteristic of wakeful consciousness and dreaming alike is that objects or events are experienced as being embedded in an external, that is, allocentric, frame of space and time. The hippocampus has been implicated in the rapid formation and memorization of allocentric representations that embed objects or events in a world context. Thirdly, the hippocampus is ideally positioned to bind information processed in different sensory association cortices. It is argued that rapidly forming patterns of neuronal ensemble firing in the hippocampus, particularly in region CA3, which encode arbitrary associations between objects and their spatiotemporal and emotional context, that is, associations between information derived from different neocortical processing streams, define the informational content of consciousness. Evidence suggestive of an important contribution of the hippocampus to conscious observation, mental imagery, dreaming, conscious anticipation of outcomes, and hallucinations will be reviewed. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",239-266
R.-P. Behrendt,2013,Conscious experience and episodic memory: Hippocampus at the crossroads,Frontiers in Psychology,4,,"If an instance of conscious experience of the seemingly objective world around us could be regarded as a newly formed event memory, much as an instance of mental imagery has the content of a retrieved event memory, and if, therefore, the stream of conscious experience could be seen as evidence for ongoing formation of event memories that are linked into episodic memory sequences, then unitary conscious experience could be defined as a symbolic representation of the pattern of hippocampal neuronal firing that encodes an event memory—a theoretical stance that may shed light into the mind-body and binding problems in consciousness research. Exceedingly detailed symbols that describe patterns of activity rapidly self-organizing, at each cycle of the θ rhythm, in the hippocampus are instances of unitary conscious experience that jointly constitute the stream of consciousness. Integrating object information (derived from the ventral visual stream and orbitofrontal cortex) with contextual emotional information (from the anterior insula) and spatial environmental information (from the dorsal visual stream), the hippocampus rapidly forms event codes that have the informational content of objects embedded in an emotional and spatiotemporally extending context. Event codes, formed in the CA3-dentate network for the purpose of their memorization, are not only contextualized but also allocentric representations, similarly to conscious experiences of events and objects situated in a seemingly objective and observer-independent framework of phenomenal space and time. Conscious perception, creating the spatially and temporally extending world that we perceive around us, is likely to be evolutionarily related to more fleeting and seemingly internal forms of conscious experience, such as autobiographical memory recall, mental imagery, including goal anticipation, and to other forms of externalized conscious experience, namely dreaming and hallucinations; and evidence pointing to an important contribution of the hippocampus to these conscious phenomena will be reviewed. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",4
R.-P. Behrendt,2016,Hallucinatory experience as aberrant event memory formation: Implications for the pathophysiology of schizophrenia,Progress in neuro-psychopharmacology & biological psychiatry,71,,"If hallucinations are not fundamentally different from normal wakeful experiences, then the neural basis of hallucinations has to be essentially that of consciousness in general. The additional insight that consciousness reflects the formation (as opposed to consolidation) of event (episodic) memories links the pathophysiology of hallucinations to the hippocampus. Perceptions and misperceptions, insofar as they are consciously experienced, constitute contextualized and unitary phenomena (which are embedded as discrete events in the stream of consciousness); they are experiential manifestations of activity patters that recurrently emerge in the CA3 network of the hippocampus (and that are secondarily consolidated into retrievable and declarable memories). The hippocampus, forming allocentric representations of objects in their world context (event memories), is a point of convergence of neocortical sensory processing streams. Moreover, being extensively modulated by the organism's physiological state, the hippocampus embeds such representations in an emotional context and, through its output to the medial prefrontal cortex, guides decision-making and goal-selection processes. Although sensory and associative processing in the neocortex makes an important contribution to the formation of behaviourally adaptive representations in the hippocampus, it is becoming clearer that pattern formation in the hippocampus is in itself the neural correlate of consciousness and that disruptions in relational memory processing in the hippocampus can give rise to hallucinations. Neurobiological and neuroimaging findings in schizophrenia research can be integrated within the proposed conceptual framework.",203-209
R.-P. Behrendt,2017,"Corrigendum to ""Hallucinatory experience as aberrant event memory formation: Implications for the pathophysiology of schizophrenia""",Progress in Neuro-Psychopharmacology & Biological Psychiatry,75,,"Reports an error in ""Hallucinatory experience as aberrant event memory formation: Implications for the pathophysiology of schizophrenia"" by Ralf-Peter Behrendt ( Progress in Neuro-Psychopharmacology & Biological Psychiatry, 2016[Nov][3], Vol 71, 203-209). In the original article, the Highlights section of the article was imprecise. The correct Highlights was present in the erratum. (The following abstract of the original article appeared in record 2016-42337-026). If hallucinations are not fundamentally different from normal wakeful experiences, then the neural basis of hallucinations has to be essentially that of consciousness in general. The additional insight that consciousness reflects the formation (as opposed to consolidation) of event (episodic) memories links the pathophysiology of hallucinations to the hippocampus. Perceptions and misperceptions, insofar as they are consciously experienced, constitute contextualized and unitary phenomena (which are embedded as discrete events in the stream of consciousness); they are experiential manifestations of activity patters that recurrently emerge in the CA3 network of the hippocampus (and that are secondarily consolidated into retrievable and declarable memories). The hippocampus, forming allocentric representations of objects in their world context (event memories), is a point of convergence of neocortical sensory processing streams. Moreover, being extensively modulated by the organism's physiological state, the hippocampus embeds such representations in an emotional context and, through its output to the medial prefrontal cortex, guides decision-making and goal-selection processes. Although sensory and associative processing in the neocortex makes an important contribution to the formation of behaviourally adaptive representations in the hippocampus, it is becoming clearer that pattern formation in the hippocampus is in itself the neural correlate of consciousness and that disruptions in relational memory processing in the hippocampus can give rise to hallucinations. Neurobiological and neuroimaging findings in schizophrenia research can be integrated within the proposed conceptual framework. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",219
R. P. Behrendt,2017,Hippocampus as a wormhole: Gateway to consciousness,WIREs Cognitive Science,8,5,"Comments on an article by Matt Faw and Bill Faw (see record 2016-46042-001). Faw and Faw proceed from the well-established notion that conscious experience is a subjective phenomenon and not a depiction of objective (material) reality and not even a reconstitution of inputs from the senses. However, Faw and Faw propose that this latter feedback pathway gives rise to conscious experience of newly formed or recalled memories. Moreover, information represented in higher-order neocortical sensory-processing areas is more suitable for interaction with the environment (egocentric action-oriented representations) than for inclusion, as facets, into an allocentric image of the world. The question should be permitted as to why we feel we have to implicate neocortical areas in the generation of consciousness. If the hippocampus is an ‘experience simulator,’ then why do we have to maintain that conscious experience arises from neocortical activity? This question does not seem to be answered by Faw and Faw, and an answer to it has long been elusive. The more general question as to how consciousness can arise from physical (neuronal) processes is left unanswered, too. Consciousness is not necessary for responding to the world, as Faw and Faw clearly show, but the neural patterns underpinning consciousness (the attractor states in CA3) are nevertheless pertinent to behavior, not to the responding to individual stimuli but to the adjustment of the organism’s behavior to the location or situation in which it finds itself. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",
"L. Bergouignan, C. Lemogne, A. Foucher, E. Longin, D. Vistoli, J. F. Allilaire and P. Fossati",2008,Field perspective deficit for positive memories characterizes autobiographical memory in euthymic depressed patients,Behav Res Ther,46,3,"Research on autobiographical memory (AM) and the ability to retrieve specific autobiographical events in euthymic depressed patients yielded divergent results. The main goal of the present study was to further explore episodic specificity of AM among fully remitted depressed patients. Twenty euthymic depressed patients and 20 matched healthy controls were given a semi-structured interview, which assesses episodic specificity of positive and negative autobiographical memories regarding event and details' specificity, autonoetic consciousness (remember/know procedure) and visual perspective (field/observer procedure). Results showed an impairment of episodic specificity of AM in euthymic depressed patients. This impairment was explained by a field perspective deficit for positive memories only. These results suggest that euthymic patients continue to exhibit discrepancy between their current self and their self for positive past behaviors, which maintains an unfavorable view of their current self. Specific cognitive interventions may improve the self-relevance of their positive memories.",322-333
"L. Bergouignan, L. Nyberg and H. H. Ehrsson",2014,Out-of-body-induced hippocampal amnesia,Proceedings of the National Academy of Sciences of the United States of America,111,12,"Theoretical models have suggested an association between the ongoing experience of the world from the perspective of one's own body and hippocampus-based episodic memory. This link has been supported by clinical reports of long-term episodic memory impairments in psychiatric conditions with dissociative symptoms, in which individuals feel detached from themselves as if having an out-of-body experience. Here, we introduce an experimental approach to examine the necessary role of perceiving the world from the perspective of one's own body for the successful episodic encoding of real-life events. While participants were involved in a social interaction, an out-of-body illusion was elicited, in which the sense of bodily self was displaced from the real body to the other end of the testing room. This condition was compared with a well-matched in-body illusion condition, in which the sense of bodily self was colocalized with the real body. In separate recall sessions, performed ∼1 wk later, we assessed the participants' episodic memory of these events. The results revealed an episodic recollection deficit for events encoded out-of-body compared with in-body. Functional magnetic resonance imaging indicated that this impairment was specifically associated with activity changes in the posterior hippocampus. Collectively, these findings show that efficient hippocampus-based episodic-memory encoding requires a first-person perspective of the natural spatial relationship between the body and the world. Our observations have important implications for theoretical models of episodic memory, neurocognitive models of self, embodied cognition, and clinical research into memory deficits in psychiatric disorders.",4421-4426
